shot,start_s,end_s,duration_s,rep_s,name,composition,paper_media,semantic_nodes,action_chain,audio_subtitle_relation,rep_file,depth_layers,object_groups,palette,transition_audio,minimum_acceptance
S01,0.000,0.100,0.100,0.000,冷开微缩城市闪回,三帧全景闪回,纸模城市/数据卡,9,完成态闪现→清空,0.000–0.100s沿用后文“微缩城市”字幕；0.100s出现全片最强音频瞬变，属于有意冷开但语义错位缺陷,reproducible/shot_reps/S01_0.000.jpg,前:数据卡｜中:城市/道路｜后:坐标纸板,4,米/牛皮/海军蓝/珊瑚红,3帧未来帧闪回→0.100s清空；音频瞬变P100,只作技术闪回；正式版不得携带后文错字幕，若保留需≤3帧且语义可解释
S02,0.100,6.667,6.567,5.800,VOX问题总标题拼贴,中心标题+四周放射拼贴,杂志剪报/漫画/蓝图/胶片/纸模,11,空桌→素材飞入→问号成立→标题压入→标签/图钉→停帧,旁白提问；底部逐句字幕，大标题复述“VOX风格怎么做”,reproducible/shot_reps/S02_5.800.jpg,前:红标签/手｜中:问号/标题｜后:胶片/漫画/蓝图/模型,6,米/牛皮/黑白/海军蓝/珊瑚红,硬切至工作台；边界±100ms音频瞬变P95.7,6组/≥11节点/3层；问号+多媒介+主标题齐全；6阶段；标题1×清晰
S03,6.667,15.233,8.566,14.000,错误方法：逐帧画/一键生成,撕纸左右分屏,素描纸/撕纸/打印纸/胶片,7,工具落位→手绘→打印→错误结果堆积→双红叉/否定标签,旁白列两种误区；红叉恰在“AE逐帧/AI一次生成”处落下,reproducible/shot_reps/S03_14.000.jpg,前:红叉/输出纸｜中:手绘与打印机｜后:撕纸工作台,5,米白/黑/牛皮/警示红,硬切爆炸平铺；P89.7,5组/≥7节点/3层；左右两误区必须同时成立，双红叉必须压中对应词
S04,15.233,16.600,1.367,15.800,机械零件平铺,顶视径向零件平铺,瓦楞纸/纸轴/胶片盘,8,爆炸零件平铺→轻微归位,“把它拆/析”词义由爆炸零件直接可视化,reproducible/shot_reps/S04_15.800.jpg,前:滚轮/小件｜中:机身/胶片盘｜后:米色纸台,4,牛皮/黑灰/米白,形态跳切至组装态；P97.3,4组/≥8节点；爆炸布局可数清且轮廓不粘连
S05,16.600,20.233,3.633,19.500,短镜头拆解机,正视机械流水线,纸板机械/胶片/信息卡,10,零件自组装→卷轴进料→胶片输出→六张镜头卡上轨→标题牌,“一组可控短镜头”对应机器输出多卡,reproducible/shot_reps/S05_19.500.jpg,前:镜头卡/标题牌｜中:机器/传送带｜后:卷盘/纸墙,5,牛皮/黑/红/少量蓝绿,硬切流程图；P77.9,5组/≥10节点；组装→输出关系完整，每卡可辨
S06,20.233,28.200,7.967,27.000,旁白转视觉任务分支图,左入右分叉流程图,撕纸波形/纸绳/照片卡,9,波形卷入→红点→三分支生长→三任务卡落位→节点标签/标题,“第一步写旁白→每句话变视觉任务→问题/原理/证据”一一映射,reproducible/shot_reps/S06_27.000.jpg,前:任务卡/标签｜中:节点分支｜后:波形/纸底,5,米白/黑/珊瑚红/蓝绿,硬切/碎片聚像；P98.5,5组/≥9节点；旁白、分支、问题/原理/证据一一对应
S07,28.200,31.167,2.967,30.500,一个镜头一个重点,中心人物靶框,剪影纸/标签纸,4,碎片聚成人像→红靶心→边框→标题/不要贪多,“一个镜头一个重点”字幕、画内标题、靶心三重同义,reproducible/shot_reps/S07_30.500.jpg,前:不要贪多标签｜中:人像/靶心｜后:边框/纸底,4,米白/黑/珊瑚红,硬切参考板；P49.3,4组/≥4节点；一个镜头一个重点不得被装饰抢夺
S08,31.167,37.833,6.666,36.800,统一视觉规则参考板,顶视编辑案板/网格,配色卡/分镜纸/胶片/图表,13,色卡/参考框落位→三分镜成组→主角定位→红线标注→图表/胶片补全,“配色/字体/构图统一，但镜头不必相同”对应参考板逐项标注,reproducible/shot_reps/S08_36.800.jpg,前:红针/胶片/图表｜中:三分镜/主角｜后:网格/色卡,6,米白/黑/珊瑚红/蓝绿,纸张揭页到叶片；P97.2,6组/≥13节点；配色/字体/构图均有可视证据，布局不重复
S09,37.833,41.333,3.500,40.900,叶片剖面与显微世界,左实体叶片+右三联放大,真叶/纸箭头/放大镜纸圈,7,叶片揭开→箭头指向→三重放大圈依次展开→标签,“科普→剖面/显微”在关键词处进入叶脉与细胞层,reproducible/shot_reps/S09_40.900.jpg,前:箭头/放大圈｜中:叶片/细胞｜后:白纸,4,米白/叶绿/珊瑚红,硬切木桌历史；P96.4,4组/≥7节点；必须有宏观叶片→至少3级放大
S10,41.333,45.300,3.967,44.800,历史地图档案证据网,顶视地图证据网,旧地图/旧报/肖像照/红线,14,地图铺开→肖像/照片落位→图钉→红线连接→档案标签,“讲历史→地图旧报纸人物档案”逐项落位,reproducible/shot_reps/S10_44.800.jpg,前:图钉/红线/照片｜中:地图/人物｜后:旧报木桌,6,旧纸棕/黑白/暗红,硬切数据坐标纸；P99.7,6组/≥14节点；地图/旧报/人物/证据关系线全可读
